"class_code","group"
"G06F  17/2742","CPC1"
"G06F  17/2743","CPC1"
"G06F  17/2744","CPC1"
"G06F  17/2745","CPC1"
"G06F  17/2746","CPC1"
"G06F  17/2747","CPC1"
"G06F  17/2748","CPC1"
"G06F  17/2749","CPC1"
"G06F  17/275","CPC1"
"G06F  17/2751","CPC1"
"G06F  17/2752","CPC1"
"G06F  17/2753","CPC1"
"G06F  17/2754","CPC1"
"G06F  17/2755","CPC1"
"G06F  17/2756","CPC1"
"G06F  17/2757","CPC1"
"G06F  17/2758","CPC1"
"G06F  17/2759","CPC1"
"G06F  17/276","CPC1"
"G06F  17/2761","CPC1"
"G06F  17/2762","CPC1"
"G06F  17/2763","CPC1"
"G06F  17/2764","CPC1"
"G06F  17/2765","CPC1"
"G06F  17/2766","CPC1"
"G06F  17/2767","CPC1"
"G06F  17/2768","CPC1"
"G06F  17/2769","CPC1"
"G06F  17/277","CPC1"
"G06F  17/2771","CPC1"
"G06F  17/2772","CPC1"
"G06F  17/2773","CPC1"
"G06F  17/2774","CPC1"
"G06F  17/2775","CPC1"
"G06F  17/2776","CPC1"
"G06F  17/2777","CPC1"
"G06F  17/2778","CPC1"
"G06F  17/2779","CPC1"
"G06F  17/278","CPC1"
"G06F  17/2781","CPC1"
"G06F  17/2782","CPC1"
"G06F  17/2783","CPC1"
"G06F  17/2784","CPC1"
"G06F  17/2785","CPC1"
"G06F  17/2786","CPC1"
"G06F  17/2787","CPC1"
"G06F  17/2788","CPC1"
"G06F  17/2789","CPC1"
"G06F  17/279","CPC1"
"G06F  17/2791","CPC1"
"G06F  17/2792","CPC1"
"G06F  17/2793","CPC1"
"G06F  17/2794","CPC1"
"G06F  17/2795","CPC1"
"G06F  17/28","CPC1"
"G06F  17/281","CPC1"
"G06F  17/282","CPC1"
"G06F  17/283","CPC1"
"G06F  17/284","CPC1"
"G06F  17/285","CPC1"
"G06F  17/286","CPC1"
"G06F  17/287","CPC1"
"G06F  17/288","CPC1"
"G06F  17/289","CPC1"
"G06F  17/30522","CPC1"
"G06F  17/30523","CPC1"
"G06F  17/30524","CPC1"
"G06F  17/30525","CPC1"
"G06F  17/30526","CPC1"
"G06F  17/30527","CPC1"
"G06F  17/30528","CPC1"
"G06F  17/30529","CPC1"
"G06F  17/3053","CPC1"
"A63F  13/67","IPC3"
"B60W  30/06","IPC3"
"G06F   9/44","IPC3"
"G06F  15/18","IPC3"
"G06F  17/14","IPC3"
"G06F  17/15","IPC3"
"G06F  17/16","IPC3"
"G06F  17/20","IPC3"
"G06F  17/27","IPC3"
"G06F  17/28","IPC3"
"G06F  19/24","IPC3"
"G06T   1/20","IPC3"
"G06T   1/40","IPC3"
"G16H  50/20","IPC3"
"H01M   8/04992","IPC3"
"H04L  12/24","IPC3"
"H04L  12/70","IPC3"
"H04L  12/751","IPC3"
"A61B   5","IPC3"
"B23K  31","IPC3"
"B29C  65","IPC3"
"E21B  41","IPC3"
"F16H  61","IPC3"
"G01N  33","IPC3"
"G05D   1","IPC3"
"G06K   9","IPC3"
"G06N   3","IPC3"
"G06N   5","IPC3"
"G06N   7","IPC3"
"G06N  99","IPC3"
"G06T   7","IPC3"
"G06T   9","IPC3"
"G10L  13","IPC3"
"G10L  15","IPC3"
"G10L  17","IPC3"
"G10L  25","IPC3"
"G10L  99","IPC3"
"H02H   1","IPC3"
"H02P  21","IPC3"
"H02P  23","IPC3"
"H04R  25","IPC3"
"G07C   9","IPC3"
"G06F  21","IPC3"
"B25J   9/16","IPC3"
"B25J   9/17","IPC3"
"B25J   9/18","IPC3"
"B25J   9/19","IPC3"
"B25J   9/2","IPC3"
"B60W  30/1","IPC3"
"B60W  30/11","IPC3"
"B60W  30/12","IPC3"
"B60W  30/14","IPC3"
"B60W  30/15","IPC3"
"B60W  30/16","IPC3"
"B60W  30/17","IPC3"
"B64G   1/24","IPC3"
"B64G   1/25","IPC3"
"B64G   1/26","IPC3"
"B64G   1/27","IPC3"
"B64G   1/28","IPC3"
"B64G   1/29","IPC3"
"B64G   1/3","IPC3"
"B64G   1/31","IPC3"
"B64G   1/32","IPC3"
"B64G   1/33","IPC3"
"B64G   1/34","IPC3"
"B64G   1/35","IPC3"
"B64G   1/36","IPC3"
"B64G   1/37","IPC3"
"B64G   1/38","IPC3"
"F02D  41/14","IPC3"
"F02D  41/15","IPC3"
"F02D  41/16","IPC3"
"G01N  29/44","IPC3"
"G01N  29/45","IPC3"
"G01N  29/46","IPC3"
"G01N  29/47","IPC3"
"G01N  29/48","IPC3"
"G01N  29/49","IPC3"
"G01N  29/5","IPC3"
"G01N  29/51","IPC3"
"G01N  29/52","IPC3"
"G08B  29/18","IPC3"
"G08B  29/19","IPC3"
"G08B  29/2","IPC3"
"G08B  29/21","IPC3"
"G08B  29/22","IPC3"
"G08B  29/23","IPC3"
"G08B  29/24","IPC3"
"G08B  29/25","IPC3"
"G08B  29/26","IPC3"
"G08B  29/27","IPC3"
"G08B  29/28","IPC3"
"G11B  20/1","IPC3"
"G11B  20/11","IPC3"
"G11B  20/12","IPC3"
"G11B  20/13","IPC3"
"G11B  20/14","IPC3"
"G11B  20/15","IPC3"
"G11B  20/16","IPC3"
"G11B  20/17","IPC3"
"G11B  20/18","IPC3"
"H03H  17/02","IPC3"
"H03H  17/03","IPC3"
"H03H  17/04","IPC3"
"H03H  17/05","IPC3"
"H03H  17/06","IPC3"
"H04L  25/02","IPC3"
"H04L  25/03","IPC3"
"H04L  25/04","IPC3"
"H04L  25/05","IPC3"
"H04L  25/06","IPC3"
"H04L  25/07","IPC3"
"H04L  25/08","IPC3"
"H04L  25/09","IPC3"
"H04L  25/1","IPC3"
"H04L  25/11","IPC3"
"H04L  25/12","IPC3"
"H04L  25/13","IPC3"
"H04L  25/14","IPC3"
"H04L  25/15","IPC3"
"H04L  25/16","IPC3"
"H04L  25/17","IPC3"
"H04L  25/18","IPC3"
"H04L  25/19","IPC3"
"H04L  25/2","IPC3"
"H04L  25/21","IPC3"
"H04L  25/22","IPC3"
"H04L  25/23","IPC3"
"H04L  25/24","IPC3"
"H04L  25/25","IPC3"
"H04L  25/26","IPC3"
"B62D  15/02","IPC3"
"B62D  15/0201","IPC3"
"B62D  15/0202","IPC3"
"B62D  15/0203","IPC3"
"B62D  15/0204","IPC3"
"B62D  15/0205","IPC3"
"B62D  15/0206","IPC3"
"B62D  15/0207","IPC3"
"B62D  15/0208","IPC3"
"B62D  15/0209","IPC3"
"B62D  15/021","IPC3"
"B62D  15/0211","IPC3"
"B62D  15/0212","IPC3"
"B62D  15/0213","IPC3"
"B62D  15/0214","IPC3"
"B62D  15/0215","IPC3"
"B62D  15/0216","IPC3"
"B62D  15/0217","IPC3"
"B62D  15/0218","IPC3"
"B62D  15/0219","IPC3"
"B62D  15/022","IPC3"
"B62D  15/0221","IPC3"
"B62D  15/0222","IPC3"
"B62D  15/0223","IPC3"
"B62D  15/0224","IPC3"
"B62D  15/0225","IPC3"
"B62D  15/0226","IPC3"
"B62D  15/0227","IPC3"
"B62D  15/0228","IPC3"
"B62D  15/0229","IPC3"
"B62D  15/023","IPC3"
"B62D  15/0231","IPC3"
"B62D  15/0232","IPC3"
"B62D  15/0233","IPC3"
"B62D  15/0234","IPC3"
"B62D  15/0235","IPC3"
"B62D  15/0236","IPC3"
"B62D  15/0237","IPC3"
"B62D  15/0238","IPC3"
"B62D  15/0239","IPC3"
"B62D  15/024","IPC3"
"B62D  15/0241","IPC3"
"B62D  15/0242","IPC3"
"B62D  15/0243","IPC3"
"B62D  15/0244","IPC3"
"B62D  15/0245","IPC3"
"B62D  15/0246","IPC3"
"B62D  15/0247","IPC3"
